,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,0.77,G-1,0.77,G-1,0.66,G-1,0.66,,0.0,,0.0,G0,0.01,G0,0.01
∅,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334
Q1,,0,,0,,0,,0,G-1,0.77,G-1,0.77,G-1,0.66,G-1,0.66,,0,,0,G0,0.01,G0,0.01
Q2,,0,,0,,0,,0,G-1,0.77,G-1,0.77,G-1,0.66,G-1,0.66,,0,,0,G0,0.01,G0,0.01
Q3,,0,,0,,0,,0,G-1,0.7150000000000001,G-1,0.77,G-1,0.66,G-1,0.66,,0,,0,G0,0.01,G0,0.01
Q4,,0,,0,,0,,0,G-1,0.77,G-1,0.77,G-1,0.66,G-1,0.66,,0,,0,G0,0.01,G0,0.01
