,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,0.77,G-1,0.77,G-1,0.66,G-1,0.66,,0.0,,0.0,G0,0.01,G0,0.01
∅,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334
Q1,G-1,0.22587925214296395,G-1,0.21867877043111347,G-1,0.2632579084807376,G-1,0.2346409111339334,G-1,0.5381220264349106,G-1,0.5382451728976734,G-1,0.47623716544912664,G-1,0.4762934707266795,G-1,0.03125689329808133,G-1,0.030349994393322123,G0,0.02261456408939,G0,0.01819523603966694
Q2,G-1,0.03783529269446761,G-1,0.03675798686742991,G-1,0.061956703943116906,G-1,0.06102275603176657,G-1,0.5862128943103565,G-1,0.5868870408587493,G-1,0.4848833009711617,G-1,0.4852254069433223,G-1,0.3284423405117989,G-1,0.2824541763679604,G0,0.019945253637207776,G0,0.01749457125791557
Q3,G-1,0.31178762788897885,G-1,0.27689237899244934,G-1,0.20266768766290566,G-1,0.1997978512348209,G-1,0.46110226650752395,G-1,0.46377659472095656,G-1,0.4627023503638795,G-1,0.4628178853566498,G-1,0.03772041564520108,G-1,0.037097763544466825,G-1,0.2643144375608158,G-1,0.19120610755566914
Q4,G-1,0.043043516283059295,G-1,0.04235888671038315,G-1,0.052627287136622375,G-1,0.052514509037287535,G-1,0.6393997582537176,G-1,0.6397520735598018,G-1,0.542215563313152,G-1,0.5423079320073765,G-1,0.1813505458844637,G-1,0.17408274580195726,G0,0.04440144921070579,G0,0.020605397712321227
