,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,0.77,G-1,0.77,G-1,0.66,G-1,0.66,,0.0,,0.0,G0,0.01,G0,0.01
∅,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334,G-1,0.23833333333333334
Q1,G-1,0.2873665242977177,G-1,0.28719101373535777,G-1,0.3062271882939914,G-1,0.3102935152456765,G-1,0.500302289724927,G-1,0.5001697685694957,G-1,0.4427635335834652,G-1,0.4421629384615788,G-1,0.0012054067165819568,G-1,0.001276614979061142,G0,0.010019730489508587,G0,0.010006960799373327
Q2,G-1,0.002552434936479815,G-1,0.002697307375446123,G-1,0.01619039317327419,G-1,0.016584212406972706,G-1,0.5686387763645078,G-1,0.5683165570403226,G-1,0.4692686483008543,G-1,0.4692498178045711,G-1,0.37323661906670513,G-1,0.3761742608430676,G0,0.009997313144091781,G0,0.009995693992678674
Q3,G-1,0.3423774689063627,G-1,0.3419885946938167,G-1,0.2509641255791563,G-1,0.24975268059285755,G-1,0.39000920039409287,G-1,0.38888049677017494,G-1,0.38908988681579715,G-1,0.3891039588960221,G-1,0.002819000627630497,G-1,0.002946581912872927,G-1,0.27886781577666736,G-1,0.23898562176791438
Q4,G-1,0.004290427354148111,G-1,0.004484123133178532,G-1,0.010530781533280392,G-1,0.01105723251818488,G-1,0.6723605759872884,G-1,0.6723541066855017,G-1,0.5527575556598763,G-1,0.5526771672527997,G-1,0.22135057602729288,G-1,0.2198547781781295,G0,0.010377304531645324,G0,0.009977410799597469
