,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,1.0,G1,1.0,G0,0.9334,G0,0.9334,G2,0.8,G2,0.8,G2,0.9334,G2,0.9334
∅,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025
Q1,G1,0.8111137764041091,G1,0.8137586813134405,G0,0.7961747159592462,G0,0.7964673257296687,G2,0.7486081802848208,G2,0.7490042691948215,G2,0.8371001275093474,G2,0.8381597964340722
Q2,G1,0.7837544958868587,G1,0.7870297350927844,G0,0.8347095251625312,G0,0.8358601663896277,G2,0.8167621723094778,G2,0.8167993433903056,G2,0.8236483044714071,G2,0.8241566616601914
Q3,G1,0.7755202376183224,G1,0.7774075842018116,G0,0.8010186397268004,G0,0.8021868938426532,G2,0.7617709990406004,G2,0.762241573278148,G2,0.8389583464880872,G2,0.8410191372565925
Q4,G1,0.6894276588375564,G1,0.6933002748054103,G0,0.8565654449147189,G0,0.8570663364792669,G2,0.7313940016026249,G2,0.7319841455838206,G2,0.8377213793014112,G2,0.8384368260896891
