,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G1,1.0,G1,1.0,G0,0.9334,G0,0.9334,G2,0.8,G2,0.8,G2,0.9334,G2,0.9334
∅,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025,G2,0.550025
Q1,G1,0.8699251448639913,G1,0.8706877150984774,G0,0.8533986045190711,G0,0.8533042914350921,G2,0.7822397538996176,G2,0.7820450302592704,G2,0.8832512885447685,G2,0.8833102384706363
Q2,G1,0.8188812033246669,G1,0.8198250694695278,G0,0.9067152024910405,G0,0.9065235855727256,G2,0.8395843791406775,G2,0.8395973390578657,G2,0.8406717087744788,G2,0.8406445730527305
Q3,G1,0.7891184945502695,G1,0.7887761086392302,G0,0.8427362520539863,G0,0.842759885183689,G2,0.7934923605312465,G2,0.7934558123536884,G2,0.8863167108842489,G2,0.887387216920021
Q4,G1,0.6309185965665421,G1,0.6318670437308487,G0,0.9198347287175712,G0,0.9195350663717087,G2,0.7179845493600259,G2,0.7177383033325676,G2,0.8668705277379047,G2,0.8669136212143576
