,P1,0.24982815723483867,,,,P2,0.25007811034780064,,,,P3,0.43763669310865094,,,,P4,0.06245703930870971,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,-0.11367041501857084,0.0,0,-0.11367041501857084,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0
deterministic_similarity: x1,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,-0.11367041501857084,0.0,0,-0.11367041501857084,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0
deterministic_similarity: x2,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0
deterministic_similarity: x3,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,-0.11367041501857084,0.0,0,-0.11367041501857084,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0
norm_similarity: x0,0.0,0.0,0.0,0,0.0,0.0,-0.07267857490263635,0.0,0,-0.07267857490263635,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x1,0.0,-0.08648043551435841,0.0,0,-0.08648043551435841,0.0,-0.0860932145834355,0.0,0,-0.0860932145834355,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x2,0.0,-0.055444610187506516,0.0,0,-0.055444610187506516,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x3,0.0,-0.08248338815141704,0.0,0,-0.08248338815141704,0.0,-0.08866093787861279,0.0,0,-0.08866093787861279,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
gaussian_similarity: x0,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,-0.074600861808505,0.0,0,-0.074600861808505,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0
gaussian_similarity: x1,0.0,-0.13260039639394883,0.0,0,-0.13260039639394883,0.0,-0.11515449263211491,0.0,0,-0.11515449263211491,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0
gaussian_similarity: x2,0.0,-0.08436553390420276,0.0,0,-0.08436553390420276,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0,-0.11359092465861947,0.0,0,-0.11359092465861947,0.0
gaussian_similarity: x3,0.0,-0.11732943004936625,0.0,0,-0.11732943004936625,0.0,-0.12200111504835492,0.0,0,-0.12200111504835492,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0,0.1681669003297121,0.0,0,0.1681669003297121,0.0
