,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,G0,0.01,G0,0.01,G0,0.99,G0,0.99,G0,1.0,G0,1.0,,0.0,,0.0,,0.0,,0.0
∅,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333
Q1,G0,0.4066182184646727,G0,0.4057604644516247,G0,0.43680390074963227,G0,0.4415450430609391,G0,0.6898255916975314,G0,0.6896457347401032,G0,0.6253788305354548,G0,0.6245777933690793,G0,0.0017160224693753903,G0,0.0018172426499095127,G0,3.6366605145036034e-05,G0,1.3100018953171663e-05
Q2,G0,0.00364512764432389,G0,0.003851426672049134,G0,0.03270589928544624,G0,0.03324484288945671,G0,0.7731748474515221,G0,0.7727404029896624,G0,0.6688472559067544,G0,0.6687659893472562,G0,0.5343334898150918,G0,0.5350516964242741,G0,3.419056886219278e-05,G0,2.009825033011935e-05
Q3,G0,0.4777373984732438,G0,0.4771106889313498,G0,0.35277680088904523,G0,0.3511295407084728,G0,0.5440837605863441,G0,0.5424913501241844,G0,0.5427977423350341,G0,0.5428172589105424,G0,0.003946155835249447,G0,0.00412440511526928,G0,0.38954295024089647,G0,0.334193612835943
Q4,G0,0.006048993457268589,G0,0.0063193594753080135,G0,0.02483012063116218,G0,0.025571292419269087,G0,0.9057837570206531,G0,0.9057744704280914,G0,0.7954213467753173,G0,0.7953316921990948,G0,0.3204293891583587,G0,0.31786427340202034,G0,0.0014383209572915502,G0,0.00012764782209797714
