,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,G0,0.01,G0,0.01,G0,0.99,G0,0.99,G0,1.0,G0,1.0,,0.0,,0.0,,0.0,,0.0
∅,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333,G0,0.3333333333333333
Q1,G0,0.3187704781232781,G0,0.3082462575722782,G0,0.37550090776356826,G0,0.3352911942295611,G0,0.7286354915321195,G0,0.7287557789723124,G0,0.6843112847673373,G0,0.6846047558171706,G0,0.04390262504403128,G0,0.04262873881542998,G0,0.02222086807662874,G0,0.014446141604634992
Q2,G0,0.05315988353871756,G0,0.051645134459018555,G0,0.09527759192442503,G0,0.09397932695691383,G0,0.7843476060797643,G0,0.785057046373966,G0,0.7034765831557933,G0,0.7040325545852735,G0,0.4693122979541739,G0,0.401732789446997,G0,0.01807517592162515,G0,0.013653626645613698
Q3,G0,0.4351649693504879,G0,0.3864057281106216,G0,0.28657778685519925,G0,0.2826624307415544,G0,0.6429029177124891,G0,0.6457144144850737,G0,0.6455430776011581,G0,0.6457250788358793,G0,0.052768391906842446,G0,0.05189627235126184,G0,0.36925987303251745,G0,0.2673904304729105
Q4,G0,0.06024391751059692,G0,0.05927838469682073,G0,0.08243943800507034,G0,0.08228810871712572,G0,0.8500845146444845,G0,0.8504627245863152,G0,0.791917447197781,G0,0.7921076465347746,G0,0.2587899555529716,G0,0.2482039937303489,G0,0.06258593144595918,G0,0.019513005104060368
