,P1,0.23562407607900782,,,,P2,0.23515329886099365,,,,P3,0.23515329886099365,,,,P4,0.2352221837550784,,,,P5,0.02942357122196327,,,,P6,0.02942357122196327,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.7,0.10913617320205682,1.0,1.3333333333333333,0.11627476269807291,-0.7,-0.006944112008697434,-2.692307692307692,2.0,-0.013128065960371693,0.0,0.0768251059320752,0.0,0,0.13589997545548207,0.0,-0.00736779987079611,0.0,-0.0,0.003952877682119799,0.0,0.0768251059320752,0.0,0.0,-0.08518868489557571,0.35709875783422695
deterministic_similarity: x1,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.7,0.10913617320205682,1.0,1.3333333333333333,0.11627476269807291,0.0,0.0768251059320752,0.0,-0.0,-0.020952304473008887,0.0,0.0768251059320752,0.0,0,0.13589997545548207,-0.15,0.10913617320205682,-0.9375,4.0,-0.06557404919468013,0.0,-0.00736779987079611,0.0,0.0,-0.014242989558240882,0.35709875783422695
deterministic_similarity: x2,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.7,0.10913617320205682,1.0,1.3333333333333333,0.11627476269807291,-0.7,-0.006944112008697434,-2.692307692307692,2.0,-0.013128065960371693,0.0,0.0768251059320752,0.0,0,0.13589997545548207,0.0,-0.00736779987079611,0.0,-0.0,0.003952877682119799,0.3,-0.006944112008697434,1.0,2.0,0.0001944774873186561,0.35709875783422695
deterministic_similarity: x3,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.0,-0.00736779987079611,0.0,0.0,-0.014242989558240882,0.0,0.0768251059320752,0.0,-0.0,-0.020952304473008887,0.0,0.0768251059320752,0.0,0,0.13589997545548207,0.0,-0.00736779987079611,0.0,-0.0,0.003952877682119799,0.3,-0.006944112008697434,1.0,2.0,0.0001944774873186561,0.35709875783422695
norm_similarity: x0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.7,0.0720753250274504,1.0,4.0,0.07921391452346649,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,0.0,0.34827168646763795
norm_similarity: x1,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,0.0,0.34385815078434345
norm_similarity: x2,0.52,0.010584992587405029,1.0,4.0,0.01772358208342112,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,0.0,0.35709875783422695
norm_similarity: x3,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,0.0,0.35268522215093245
gaussian_similarity: x0,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.7,0.06818516733683117,1.0,1.3333333333333333,0.07532375683284726,-0.7,-0.006944112008697434,-2.692307692307692,2.0,-0.013128065960371693,0.0,0.0768251059320752,0.0,0,0.13589997545548207,0.0,-0.00736779987079611,0.0,-0.0,0.003952877682119799,0.0,0.0768251059320752,0.0,0.0,-0.08518868489557571,0.38767764172238717
gaussian_similarity: x1,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.7,0.10913617320205682,1.0,1.3333333333333333,0.11627476269807291,0.0,0.0768251059320752,0.0,-0.0,-0.020952304473008887,0.0,0.0768251059320752,0.0,0,0.13589997545548207,-0.15,0.10913617320205682,-0.9375,4.0,-0.06557404919468013,0.0,-0.00736779987079611,0.0,0.0,-0.014242989558240882,0.38767764172238717
gaussian_similarity: x2,0.52,-0.0039707935675949435,1.0,1.0,0.0031677959284211465,0.7,0.10913617320205682,1.0,1.3333333333333333,0.11627476269807291,-0.7,-0.006944112008697434,-2.692307692307692,2.0,-0.013128065960371693,0.0,0.0768251059320752,0.0,0,0.13589997545548207,0.0,-0.00736779987079611,0.0,-0.0,0.003952877682119799,0.3,-0.006944112008697434,1.0,2.0,0.0001944774873186561,0.38767764172238717
gaussian_similarity: x3,0.52,0.0574277346336447,1.0,1.0,0.06456632412966079,0.0,-0.00736779987079611,0.0,0.0,-0.014242989558240882,0.0,0.0768251059320752,0.0,-0.0,-0.020952304473008887,0.0,0.0768251059320752,0.0,0,0.13589997545548207,0.0,-0.00736779987079611,0.0,-0.0,0.003952877682119799,0.3,-0.006944112008697434,1.0,2.0,0.0001944774873186561,0.38767764172238717
