,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,1.0,G-1,1.0,G-1,1.0,G-1,1.0,,0.0,,0.0,,0.0,,0.0
∅,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333
Q1,G-1,0.40713246058145647,G-1,0.4063254274553479,G-1,0.43411005749522835,G-1,0.4389159270780112,G-1,0.6921370327538748,G-1,0.6919537578532338,G-1,0.6260798368351592,G-1,0.6252630999069266,G-1,0.0017033981433188692,G-1,0.001803911205678533,G-1,3.6411198791187675e-05,G-1,1.3116516126634495e-05
Q2,G-1,0.003657041766241954,G-1,0.0038640521499181705,G-1,0.023139908252918256,G-1,0.023689575227900952,G-1,0.7781363076546259,G-1,0.7776988408991696,G-1,0.6711703401177513,G-1,0.6710920945738488,G-1,0.5360467301999917,G-1,0.5369779902515125,G-1,2.0618428704524637e-05,G-1,1.03643456748823e-05
Q3,G-1,0.4789591972950336,G-1,0.4784198696932114,G-1,0.35099471121069026,G-1,0.3493020537228856,G-1,0.5454728994933313,G-1,0.5438820270451347,G-1,0.5441885893548909,G-1,0.544208124804647,G-1,0.003942603675212771,G-1,0.0041210343414883905,G-1,0.3898381894000939,G-1,0.3340510399529709
Q4,G-1,0.006073877766307353,G-1,0.006345528443983532,G-1,0.015220700589995207,G-1,0.015976958216676718,G-1,0.9121476852795862,G-1,0.9121383688791211,G-1,0.7977418824245306,G-1,0.7976503956357723,G-1,0.3211830562750174,G-1,0.31863470841059893,G-1,0.0011751278048244824,G-1,6.909908303103563e-05
