,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,1.0,G-1,1.0,G-1,1.0,G-1,1.0,,0.0,,0.0,,0.0,,0.0
∅,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333,G-1,0.3333333333333333
Q1,G-1,0.319059346982412,G-1,0.30855380885590444,G-1,0.3722359808231187,G-1,0.33127817648809865,G-1,0.7322920361477301,G-1,0.7324158236011359,G-1,0.6849271286542935,G-1,0.685206042263679,G-1,0.0438364411847698,G-1,0.04256432363827496,G-1,0.022228410223190005,G-1,0.014451087901001358
Q2,G-1,0.05328432141933062,G-1,0.051766481462845695,G-1,0.08729430161755522,G-1,0.08596330640312227,G-1,0.7899661835761901,G-1,0.7906946448604243,G-1,0.7049632962266071,G-1,0.7055179940155483,G-1,0.4705981205649683,G-1,0.40295750649498296,G-1,0.01787075933462169,G-1,0.013487720183049128
Q3,G-1,0.4361918810083961,G-1,0.38738162500253626,G-1,0.28344853860179064,G-1,0.2794359534362162,G-1,0.6451065829228646,G-1,0.6480040917973813,G-1,0.647750193853168,G-1,0.6479321735557484,G-1,0.0527556191407189,G-1,0.051884771728193904,G-1,0.3695066110242964,G-1,0.2672990359886006
Q4,G-1,0.06041638304826002,G-1,0.05944909803994046,G-1,0.07441632249297002,G-1,0.07425308310184192,G-1,0.8565601213289143,G-1,0.8569477843646591,G-1,0.7932951370150263,G-1,0.7934827816305876,G-1,0.2593306260432596,G-1,0.24873345579831452,G-1,0.06188500336794067,G-1,0.01922681636348584
