,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,0.93,G-1,0.93,G-1,0.93,G-1,0.93,,0.0,,0.0,,0.0,,0.0
∅,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31
Q1,G-1,0.37863318834075455,G-1,0.37788264753347356,G-1,0.4037223534705624,G-1,0.4081918121825504,G-1,0.6436874404611036,G-1,0.6435169948035073,G-1,0.5822542482566981,G-1,0.5814946829134418,G-1,0.0015841602732865486,G-1,0.0016776374212810357,G-1,3.386241487580454e-05,G-1,1.2198359997770081e-05
Q2,G-1,0.0034010488426050173,G-1,0.003593568499423899,G-1,0.021520114675213982,G-1,0.022031304961947884,G-1,0.7236667661188021,G-1,0.7232599220362278,G-1,0.6241884163095088,G-1,0.6241156479536794,G-1,0.4985234590859924,G-1,0.49938953093390664,G-1,1.9175138695207912e-05,G-1,9.63884147764054e-06
Q3,G-1,0.4454320534843813,G-1,0.4449304788146866,G-1,0.32642508142594195,G-1,0.32485090996228366,G-1,0.5072897965287981,G-1,0.5058102851519752,G-1,0.5060953881000485,G-1,0.5061135560683216,G-1,0.003666621417947878,G-1,0.003832561937584203,G-1,0.3625495161420873,G-1,0.310667467156263
Q4,G-1,0.005648706322665838,G-1,0.005901341452904685,G-1,0.014155251548695545,G-1,0.01485857114150935,G-1,0.8482973473100153,G-1,0.8482886830575826,G-1,0.7418999506548134,G-1,0.7418148679412683,G-1,0.2987002423357662,G-1,0.29633027882185703,G-1,0.0010928688584867685,G-1,6.426214721886315e-05
