,pose_0,pose_0,pose_0,pose_0,pose_1,pose_1,pose_1,pose_1,pose_2,pose_2,pose_2,pose_2,pose_3,pose_3,pose_3,pose_3,pose_4,pose_4,pose_4,pose_4,pose_5,pose_5,pose_5,pose_5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,,0.0,,0.0,,0.0,,0.0,G-1,0.93,G-1,0.93,G-1,0.93,G-1,0.93,,0.0,,0.0,,0.0,,0.0
∅,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31,G-1,0.31
Q1,G-1,0.29672519269364317,G-1,0.2869550422359911,G-1,0.34617946216550044,G-1,0.3080887041339318,G-1,0.681031593617389,G-1,0.6811467159490564,G-1,0.6369822296484929,G-1,0.6372416193052215,G-1,0.04076789030183592,G-1,0.039584820983595725,G-1,0.020672421507566707,G-1,0.013439511747931263
Q2,G-1,0.049554418919977486,G-1,0.048142827760446504,G-1,0.08118370050432636,G-1,0.07994587495490371,G-1,0.7346685507258569,G-1,0.7353460197201946,G-1,0.6556158654907447,G-1,0.6561317344344599,G-1,0.4376562521254206,G-1,0.37475048104033415,G-1,0.016619806181198175,G-1,0.01254357977023569
Q3,G-1,0.40565844933780837,G-1,0.3602649112523587,G-1,0.2636071408996653,G-1,0.25987543669568103,G-1,0.5999491221182641,G-1,0.6026438053715646,G-1,0.6024076802834462,G-1,0.602576921406846,G-1,0.04906272580086858,G-1,0.04825283770722033,G-1,0.3436411482525957,G-1,0.24858810346939855
Q4,G-1,0.056187236234881824,G-1,0.05528766117714463,G-1,0.06920717991846212,G-1,0.069055367284713,G-1,0.7966009128358904,G-1,0.7969614394591329,G-1,0.7377644774239744,G-1,0.7379389869164465,G-1,0.2411774822202315,G-1,0.2313221138924325,G-1,0.057553053132184825,G-1,0.01788093921804183
