,P1,0.16676151822835295,,,,P2,0.166594840063097,,,,P3,0.166594840063097,,,,P4,0.16676151822835295,,,,P5,0.1666436417085501,,,,P6,0.1666436417085501,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.005198345089825029,0.0,0,-0.005198345089825029,0.0,-0.005198345089825029,0.0,0,-0.008905096342628645,0.0,-0.05401409439572133,0.0,0,0.018199455519474855,0.0,-0.05401409439572133,0.0,0,-0.05401409439572133,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0
deterministic_similarity: x1,0.0,-0.005198345089825029,0.0,0,-0.005198345089825029,0.0,-0.047478867156265286,0.0,0,0.0044548428816132,0.0,-0.04525336391952345,0.0,0,0.03116088172251552,0.0,-0.020788982624674823,0.0,0,-0.020788982624674823,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0
deterministic_similarity: x2,0.0,-0.043081070935462124,0.0,0,-0.043081070935462124,0.0,-0.043081070935462124,0.0,0,-0.0036410980106876337,0.0,-0.04525336391952345,0.0,0,0.03116088172251552,0.0,-0.04525336391952345,0.0,0,-0.04525336391952345,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0
deterministic_similarity: x3,0.0,-0.005198345089825029,0.0,0,-0.005198345089825029,0.0,-0.047478867156265286,0.0,0,0.0044548428816132,0.0,-0.04525336391952345,0.0,0,0.03116088172251552,0.0,-0.020788982624674823,0.0,0,-0.020788982624674823,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0
norm_similarity: x0,0.0,-0.06717583050292025,0.0,0,-0.06717583050292025,0.0,-0.06773286090198699,0.0,0,0.01000880584740034,0.0,-0.068741766615766,0.0,0,0.011169585199635054,0.0,-0.06873450920784074,0.0,0,-0.06873450920784074,0.0,0.08035287679916531,0.0,0,0.08035287679916531,0.0,0.08035287679916531,0.0,0,0.08035287679916531,0.0
norm_similarity: x1,0.0,-2.7755575615628914e-17,0.0,0,-2.7755575615628914e-17,0.0,-0.04300471845708567,0.0,0,0.004164949349179062,0.0,-0.04231009462578089,0.0,0,0.027062220558222855,0.0,-0.018220414527985895,0.0,0,-0.018220414527985895,0.0,0.08790546732992294,0.0,0,0.08790546732992294,0.0,0.08790546732992294,0.0,0,0.08790546732992294,0.0
norm_similarity: x2,0.0,-0.0677415838876182,0.0,0,-0.0677415838876182,0.0,-0.0677589594245798,0.0,0,0.009146077619378003,0.0,-0.06791469700927133,0.0,0,0.010644624690411483,0.0,-0.0678612270682811,0.0,0,-0.0678612270682811,0.0,0.08782528767574954,0.0,0,0.08782528767574954,0.0,0.08782528767574954,0.0,0,0.08782528767574954,0.0
norm_similarity: x3,0.0,-0.005825833038230588,0.0,0,-0.005825833038230588,0.0,-0.0432027646049534,0.0,0,0.004193857716668414,0.0,-2.7755575615628914e-17,0.0,0,-6.938893903907228e-18,0.0,0.010939739095848,0.0,0,0.010939739095848,0.0,-2.7755575615628914e-17,0.0,0,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,0.0,0,-2.7755575615628914e-17,0.0
gaussian_similarity: x0,0.0,-0.09474765560091859,0.0,0,-0.09474765560091859,0.0,-0.0956174226847028,0.0,0,0.01413510918272378,0.0,-0.09630733569683227,0.0,0,0.015456085859267797,0.0,-0.09631977048566484,0.0,0,-0.09631977048566484,0.0,0.12462439766420613,0.0,0,0.12462439766420613,0.0,0.12462439766420613,0.0,0,0.12462439766420613,0.0
gaussian_similarity: x1,0.0,-0.005198345089825029,0.0,0,-0.005198345089825029,0.0,-0.0840456118449037,0.0,0,0.007885824116776317,0.0,-0.08003480679857117,0.0,0,0.05511093391354904,0.0,-0.03678863669801832,0.0,0,-0.03678863669801832,0.0,0.14947909037249263,0.0,0,0.14947909037249263,0.0,0.14947909037249263,0.0,0,0.14947909037249263,0.0
gaussian_similarity: x2,0.0,-0.09444655275464087,0.0,0,-0.09444655275464087,0.0,-0.09450203683489289,0.0,0,0.012811139571342348,0.0,-0.09549451194809438,0.0,0,0.01504397436595855,0.0,-0.0954872987681668,0.0,0,-0.0954872987681668,0.0,0.14431531291848432,0.0,0,0.14431531291848432,0.0,0.14431531291848432,0.0,0,0.14431531291848432,0.0
gaussian_similarity: x3,0.0,-0.009192186744351766,0.0,0,-0.009192186744351766,0.0,-0.08403403852014102,0.0,0,0.007884738215900342,0.0,-0.04525336391952345,0.0,0,0.03116088172251552,0.0,-0.036444836037023226,0.0,0,-0.036444836037023226,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0,0.05713279275884847,0.0,0,0.05713279275884847,0.0
