,P1,0.16676151822835295,,,,P2,0.166594840063097,,,,P3,0.166594840063097,,,,P4,0.16676151822835295,,,,P5,0.1666436417085501,,,,P6,0.1666436417085501,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.04008367735571444,0.0,0,-0.0018570142655536248,0.0,-0.04008367735571444,0.0,0,-0.00408102256642506,0.0,-0.09468270209211865,0.0,0,0.006065323256016147,0.0,-0.09468270209211865,0.0,0,-0.057657954283113905,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0
deterministic_similarity: x1,0.0,-0.04008367735571444,0.0,0,-0.0018570142655536248,0.0,-0.060082059020733436,0.0,0,0.007049664821091418,0.0,-0.05340554931050784,0.0,0,0.013726174531317002,0.0,-0.0623560166912141,0.0,0,-0.026356587534603293,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0
deterministic_similarity: x2,0.0,-0.08192416963498395,0.0,0,-0.03761741635947105,0.0,-0.08192416963498395,0.0,0,0.002427051957443062,0.0,-0.05340554931050784,0.0,0,0.013726174531317002,0.0,-0.05340554931050784,0.0,0,-0.04414013275013626,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0
deterministic_similarity: x3,0.0,-0.04008367735571444,0.0,0,-0.0018570142655536248,0.0,-0.060082059020733436,0.0,0,0.007049664821091418,0.0,-0.05340554931050784,0.0,0,0.013726174531317002,0.0,-0.0623560166912141,0.0,0,-0.026356587534603293,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0
norm_similarity: x0,0.0,-0.12227242599959948,0.0,0,-0.06567637606785987,0.0,-0.12296334571090392,0.0,0,0.005939116167886661,0.0,-0.12440897249242716,0.0,0,0.006165362829509715,0.0,-0.12440355727806082,0.0,0,-0.06781860095106432,0.0,0.1461566778936942,0.0,0,0.1461566778936942,0.0,0.1461566778936942,0.0,0,0.1461566778936942,0.0
norm_similarity: x1,0.0,-5.551115123125783e-17,0.0,0,0.0,0.0,-0.055034623251898424,0.0,0,0.006395998067107982,0.0,-0.05327516278573324,0.0,0,0.011929169794221543,0.0,-0.054742789988408036,0.0,0,-0.02315212741293604,0.0,0.1600052277721764,0.0,0,0.1600052277721764,0.0,0.1600052277721764,0.0,0,0.1600052277721764,0.0
norm_similarity: x2,0.0,-0.12382135080152418,0.0,0,-0.06612992327337508,0.0,-0.12384513129223634,0.0,0,0.005714597004371682,0.0,-0.1234382954151608,0.0,0,0.005978634598647118,0.0,-0.12365128176200052,0.0,0,-0.06670728901916889,0.0,0.15974363472162495,0.0,0,0.15974363472162495,0.0,0.15974363472162495,0.0,0,0.15974363472162495,0.0
norm_similarity: x3,0.0,-0.03550749113547469,0.0,0,-0.0028761402304570693,0.0,-0.05538857967204319,0.0,0,0.006414033115505886,0.0,-5.551115123125783e-17,0.0,0,-3.469446951953614e-18,0.0,0.0005001354685250647,0.0,0,0.005999459279388608,0.0,-5.551115123125783e-17,0.0,0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,0.0,0,-5.551115123125783e-17,0.0
gaussian_similarity: x0,0.0,-0.17253093371579445,0.0,0,-0.09261485236482973,0.0,-0.1736696732339181,0.0,0,0.008374625681712,0.0,-0.17411528211810506,0.0,0,0.008641962236865235,0.0,-0.1741581190723379,0.0,0,-0.09493792716810175,0.0,0.22667992723713126,0.0,0,0.22667992723713126,0.0,0.22667992723713126,0.0,0,0.22667992723713126,0.0
gaussian_similarity: x1,0.0,-0.04008367735571444,0.0,0,-0.0018570142655536248,0.0,-0.10635538953950821,0.0,0,0.012479097094715268,0.0,-0.09445270916520918,0.0,0,0.024276023516198,0.0,-0.1103465660347352,0.0,0,-0.04664119167905681,0.0,0.27188824952564783,0.0,0,0.27188824952564783,0.0,0.27188824952564783,0.0,0,0.27188824952564783,0.0
gaussian_similarity: x2,0.0,-0.17280341001182004,0.0,0,-0.09232980333862614,0.0,-0.17288471999758867,0.0,0,0.007919485286134464,0.0,-0.1734966064273572,0.0,0,0.008430314649707806,0.0,-0.17391127892575428,0.0,0,-0.09384630918866416,0.0,0.2624958294258707,0.0,0,0.2624958294258707,0.0,0.2624958294258707,0.0,0,0.2624958294258707,0.0
gaussian_similarity: x3,0.0,-0.07087960519881897,0.0,0,-0.0032837415794713665,0.0,-0.10634074409358446,0.0,0,0.012477378686814467,0.0,-0.05340554931050784,0.0,0,0.013726174531317002,0.0,-0.10967726656104548,0.0,0,-0.04629316462535982,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0,0.1268891025189085,0.0,0,0.1268891025189085,0.0
